DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,MA1,REM,EQD
01-01T01:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0060,1","99999,9,9,N","999999,9,N,1","-0011,1","+9999,9","99999,9","99999,9,09645,1",SYN054AAXX  01011 89266 46/// /1706 11011 39645 4//// 5////;,
01-01T02:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"160,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0018,1","+9999,9","99999,9","99999,9,09644,1",SYN054AAXX  01021 89266 46/// /1604 11018 39644 4//// 5////;,
01-01T03:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0016,1","+9999,9","99999,9","99999,9,09644,1",SYN054AAXX  01031 89266 46/// /1704 11016 39644 4//// 5////;,
01-01T04:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0019,1","+9999,9","99999,9","99999,9,09637,1",SYN054AAXX  01041 89266 46/// /1704 11019 39637 4//// 5////;,
01-01T06:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0019,1","+9999,9","99999,9","99999,9,09632,1",SYN054AAXX  01061 89266 46/// /1704 11019 39632 4//// 5////;,
01-01T07:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0018,1","+9999,9","99999,9","99999,9,09626,1",SYN054AAXX  01071 89266 46/// /1703 11018 39626 4//// 5////;,
01-01T08:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0016,1","+9999,9","99999,9","99999,9,09625,1",SYN054AAXX  01081 89266 46/// /1704 11016 39625 4//// 5////;,
01-01T09:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"170,1,N,0050,1","99999,9,9,N","999999,9,N,1","-0014,1","+9999,9","99999,9","99999,9,09625,1",SYN054AAXX  01091 89266 46/// /1705 11014 39625 4//// 5////;,
01-01T11:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"180,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0010,1","+9999,9","99999,9","99999,9,09622,1",SYN054AAXX  01111 89266 46/// /1804 11010 39622 4//// 5////;,
01-01T12:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"190,1,N,0050,1","99999,9,9,N","999999,9,N,1","-0008,1","+9999,9","99999,9","99999,9,09620,1",SYN054AAXX  01121 89266 46/// /1905 11008 39620 4//// 5////;,
01-01T13:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"190,1,N,0050,1","99999,9,9,N","999999,9,N,1","-0008,1","+9999,9","99999,9","99999,9,09619,1",SYN054AAXX  01131 89266 46/// /1905 11008 39619 4//// 5////;,
01-01T14:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"190,1,N,0050,1","99999,9,9,N","999999,9,N,1","-0005,1","+9999,9","99999,9","99999,9,09619,1",SYN054AAXX  01141 89266 46/// /1905 11005 39619 4//// 5////;,
