DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AW1,REM
01-01T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0064,1","-0071,1","99999,9",,SYN042AAXX  01001 02602 45/// /0501 11064 21071;
01-01T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0069,1","-0077,1","99999,9",,SYN042AAXX  01031 02602 45/// /0501 11069 21077;
01-01T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0061,1","-0069,1","99999,9",,SYN042AAXX  01061 02602 45/// /0502 11061 21069;
01-01T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0052,1","-0060,1","99999,9",,SYN042AAXX  01091 02602 45/// /0501 11052 21060;
01-01T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0042,1","-0050,1","99999,9",,SYN042AAXX  01121 02602 45/// /0501 11042 21050;
01-01T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0031,1","-0039,1","99999,9",,SYN042AAXX  01151 02602 45/// /0502 11031 21039;
01-01T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0038,1","-0046,1","99999,9",,SYN042AAXX  01181 02602 45/// /0501 11038 21046;
01-01T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"050,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0038,1","-0046,1","99999,9",,SYN042AAXX  01211 02602 45/// /0501 11038 21046;
01-02T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0033,1","-0041,1","99999,9",,SYN042AAXX  02001 02602 45/// /3602 11033 21041;
01-02T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0049,1","-0063,1","99999,9",,SYN042AAXX  02031 02602 45/// /3602 11049 21063;
01-02T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0061,1","-0072,1","99999,9",,SYN042AAXX  02061 02602 45/// /3601 11061 21072;
01-02T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0056,1","-0071,1","99999,9",,SYN042AAXX  02091 02602 45/// /3601 11056 21071;
01-02T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"360,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0033,1","-0060,1","99999,9",,SYN042AAXX  02121 02602 45/// /3603 11033 21060;
